Iteration,Hidden Layer 1 Size,Hidden Layer 2 Size,Max Epochs,Training Function,Activation Function,Final MSE,Random Seed,Training Error,Validation Error,Test Error
1,2,37,264,1,1,0.00076856468,4827,0.029107483,0.027144689,0.021710279
2,2,98,290,1,1,0.00087336167,4828,0.0018788606,0.0023446746,0.002456847
3,2,12,309,1,1,0.0009652542,4829,0.00558268,0.006541219,0.0045511003
4,2,41,298,1,1,0.00087154762,4830,0.0064930672,0.0061766066,0.0066219639
5,2,75,183,1,1,0.00083902224,4831,5.392429,8.4032271,4.5408642
6,2,71,141,1,1,0.00093163348,4832,0.0018537063,0.0024640932,0.0017017533
7,2,74,186,1,1,0.00079916165,4833,0.023412836,0.017224725,0.027514696
8,2,69,132,1,1,0.00090210987,4834,0.0087454537,0.0078768821,0.0095176615
9,2,83,249,1,1,0.00082607069,4835,0.0033545379,0.0024018489,0.0046213347
10,2,29,304,1,1,0.00087179143,4836,0.0017564876,0.0023525083,0.002221309
11,2,66,221,1,1,0.00079167065,4837,0.0022288099,0.0022648908,0.0052365664
12,2,68,144,1,1,0.00082189492,4838,0.001635399,0.0019781968,0.0030204914
13,2,83,230,1,1,0.00093346648,4839,0.0029910755,0.0042183136,0.0029475412
14,2,58,218,1,1,0.00087122477,4840,0.0018885694,0.0017774708,0.0026624805
15,2,48,306,1,1,0.00084704651,4841,0.012067132,0.018257771,0.018763514
16,2,87,309,1,1,0.00080162019,4842,0.0016482999,0.0020862237,0.0054546691
17,2,111,202,1,1,0.00080593974,4843,0.00091557232,0.00088950418,0.0013290745
18,2,32,276,1,1,0.00094570797,4844,0.011212293,0.014728472,0.01804572
19,2,63,291,1,1,0.00090268539,4845,0.001052252,0.0011020362,0.0012992483
20,2,46,209,1,1,0.00087583493,4846,5.0692058,6.2852637,5.3088806
