Iteration,Hidden Layer 1 Size,Hidden Layer 2 Size,Max Epochs,Training Function,Activation Function,Final MSE,Random Seed
1,12,11,134,1,1,0.0011458895,3754
2,16,11,152,1,2,0.0011626149,5035
3,15,5,198,1,1,0.0012388848,3548
4,6,20,137,1,1,0.00097848099,419
5,18,17,72,1,2,0.0010679497,6543
6,8,13,139,1,1,0.0011572678,3248
7,7,18,103,1,1,0.0013207109,9487
8,5,29,168,1,1,0.0010846928,2932
9,10,10,146,1,2,0.0010575157,4593
10,7,13,104,1,1,0.0010173827,7741
11,7,17,65,1,1,0.0012515936,4576
12,9,12,179,1,1,0.0011496445,9554
13,7,9,105,1,2,0.0011065593,9788
14,11,11,51,1,1,0.00095342091,3118
15,12,13,185,1,1,0.0012493227,2705
16,6,24,141,1,1,0.00095341636,7908
17,16,1,194,1,2,0.0010965168,1866
18,4,18,187,1,2,0.0010304418,2441
19,19,2,159,1,2,0.0012068911,7735
20,10,14,137,1,2,0.001050495,3322
21,14,2,96,1,1,0.0011419268,6138
22,12,3,150,1,2,0.0010016363,5338
23,7,22,142,1,1,0.0011640009,3281
24,13,8,198,1,2,0.0017023341,8336
25,12,19,146,1,2,0.0011638558,6107
26,9,9,191,1,1,0.0011768859,1678
27,18,13,76,1,2,0.0010000462,3296
28,12,16,176,1,2,0.0013086273,1654
29,4,21,192,1,2,0.0010211245,7973
30,6,11,145,1,1,0.0010385478,7721
31,14,6,137,1,1,0.0010198361,4954
32,10,13,183,1,2,0.0011194178,210
33,7,4,138,1,1,0.0010555569,6748
34,15,1,199,1,2,0.0011785481,938
35,8,20,95,1,2,0.0013476807,3101
36,8,24,74,1,2,0.0010204054,7371
37,14,6,151,1,1,0.00098256841,5699
38,3,24,74,1,2,0.00099127665,7210
39,10,11,178,1,1,0.001099289,6417
40,13,6,123,1,2,0.0010059451,9467
41,9,28,80,1,1,0.0013254516,2126
42,5,14,68,1,1,0.0009584294,566
43,11,17,194,1,2,0.001226397,6884
44,10,11,106,1,2,0.0010665622,5091
45,9,17,143,1,2,0.0010065555,1686
46,10,3,160,1,2,0.0010706205,3693
47,22,4,55,1,2,0.0011261525,9973
48,14,12,137,1,2,0.0010242984,8205
49,12,28,117,1,2,0.0010089262,3433
50,6,10,163,1,1,0.00092275176,9989
