Diameter Removed,Iteration,Hidden Layer 1 Size,Hidden Layer 2 Size,Max Epochs,Training Function,Activation Function,Final MSE,Random Seed,Training Error,Validation Error,Test Error,mseQH_beps
220,1,3,27,175,1,1,0.00105627771648675,4827,0.00461238472840365,0.0109954818835722,0.00337327322361428,0.125277955999627
220,2,8,10,273,1,1,0.00110396881364242,4828,0.00451036952796359,0.00865204364965707,0.003872657734244,0.00231825995192827
220,3,8,9,100,1,1,0.000952665127584207,4829,0.0461187983623128,0.0630635734027795,0.0513147883414532,8.87236845752898e-05
220,4,4,19,142,1,1,0.000891443669348382,4830,0.0156726297017566,0.0370010373663173,0.0170675725478865,0.000102669157193531
230,1,4,23,223,1,1,0.00113036668167959,4827,0.00105114985643388,0.00392837270660574,0.00496258974632965,0.000428825774587654
240,1,3,47,277,1,1,0.00101277673591184,4827,0.00730769316708941,0.0164347122933513,0.00996404005136641,0.00049209194154574
250,1,8,9,100,1,1,0.000982759917136665,4827,1.31723946407975,1.54880321795,1.2584720226107,0.0110562243028358
250,2,3,94,102,1,1,0.000977305358335753,4828,0.0083410507235672,0.00850259870903792,0.0106961265275777,0.0705029353033539
250,3,3,71,211,1,1,0.000985376075491528,4829,0.0171831047588337,0.0170048274554382,0.0131494670726871,4.32929946538457e-05
260,1,7,49,132,1,1,0.000979046088619711,4827,0.0220337722218013,0.0191202439661065,0.0201404678373322,0.000275322467391125
260,2,9,74,242,1,1,0.000936306212264438,4828,0.0193503288737704,0.0217155823354987,0.0178467316006131,0.000171050562382571
260,3,7,26,210,1,1,0.000897104311299198,4829,0.00415174354405678,0.0039839914777449,0.00640551154274532,8.52017006074092e-05
260,4,5,65,161,1,1,0.000754038422894192,4830,0.00300032018128757,0.00309736640924215,0.0256613635394534,0.000439735399572101
260,5,13,10,182,1,1,0.000859641314859761,4831,0.00513315799503655,0.00324193755126634,0.00552205821331766,0.000202922310368415
260,6,7,9,100,1,1,0.000896222235331813,4832,0.0014617537447214,0.00198007342423153,0.00244366049992231,8.49004320871069e-06
260,7,10,16,213,1,1,0.000866949720989114,4833,0.0087837477422292,0.00551125344873942,0.0102696351764754,0.000515880777557301
260,8,2,39,169,1,1,0.000865945678360628,4834,0.00886719926207612,0.0100546344635482,0.00882988474726894,0.000673293340964357
260,9,3,14,264,1,1,0.000929885500273223,4835,0.00196736889586678,0.00232604186452033,0.00257088715224302,5.46812384392394e-05
260,10,6,16,203,1,1,0.00082077666315313,4836,0.00171851793450024,0.00149104209506637,0.00248735792809926,0.0041520786671047
260,11,3,56,146,1,1,0.000980312670997321,4837,0.00196235044215794,0.00268385489836659,0.00346431261671436,0.0129556961603041
260,12,5,19,284,1,1,0.00086712056742646,4838,8.76666148397598,9.37386241242086,10.5965603519224,0.534693404090633
260,13,4,29,288,1,1,0.000900949884039071,4839,0.0029713121452002,0.00395571036685745,0.0056876200074625,3.00648450063382e-05
260,14,4,46,103,1,1,0.000836141452922883,4840,0.00408802464875948,0.00474107416255108,0.00522201685332308,0.00129121209759863
